date,ticker,close,open,high,low,volume,sentiment_avg,sentiment_sum,polarity_ratio,news_volume,return_t,ma_7,volatility_7,target_next_return
2020-03-24,MSFT,142.261,137.866,143.484,135.493,86035757.097072,-0.09009541,-11.081736,0.051098756,123.0,0.09084983858971096,135.19785714285715,0.08166987292644243,-0.009468512100997528
2020-03-25,MSFT,140.914,142.817,148.026,138.53,78863912.620261,-0.024437405,-3.2013001,0.42087862,131.0,-0.009468512100997528,136.77485714285714,0.054024408996103376,0.062456533772371925
2020-03-26,MSFT,149.715,142.319,150.233,142.289,67453401.999321,0.019938879,1.6150491,0.59422624,81.0,0.062456533772371925,138.07942857142856,0.05012487223695231,-0.040984537287512945
2020-03-27,MSFT,143.579,145.542,148.572,143.103,59474931.203028,-0.0086448835,-0.7175253,0.4540516,83.0,-0.040984537287512945,139.35314285714287,0.04993093518823527,0.07014953440266325
2020-03-30,MSFT,153.651,146.198,154.013,143.883,66124964.282267,0.001689434,0.12163925,0.50435615,72.0,0.07014953440266325,141.75214285714284,0.05491915017396138,-0.015574255943664572
2020-03-31,MSFT,151.258,152.898,158.027,150.144,81250489.848714,0.02360331,5.074712,0.5861762,215.0,-0.015574255943664572,144.54157142857144,0.05177382916800459,-0.035581589072974706
2020-04-01,MSFT,145.876,146.734,151.298,144.665,60442125.9801,0.044952977,5.1695924,0.65583146,115.0,-0.035581589072974706,146.75057142857145,0.0551248651713092,0.020887603169815527
2020-04-02,MSFT,148.923,145.641,149.137,144.216,51747299.926372,-0.030510513,-3.386667,0.29521394,111.0,0.020887603169815527,147.70228571428575,0.04500274801932336,-0.00930682298906138
2020-04-03,MSFT,147.537,148.776,150.934,145.954,43002156.286518,-0.050645035,-4.254183,0.2305099,84.0,-0.00930682298906138,148.6484285714286,0.04499268006841545,0.07427289425703387
2020-04-06,MSFT,158.495,153.738,159.696,151.129,69973760.509675,0.0425012,1.5725443,0.7467969,37.0,0.07427289425703387,149.90271428571427,0.047550027889803954,-0.010536609987696899
2020-04-07,MSFT,156.825,162.635,163.038,156.599,65445902.621434,-0.047209583,-4.0600243,0.2780719,86.0,-0.010536609987696899,151.79500000000002,0.04341526330656344,0.009775227164036338
2020-04-08,MSFT,158.358,158.886,159.862,156.835,50378825.804136,-0.025682172,-3.4157288,0.36391956,133.0,0.009775227164036338,152.46742857142857,0.035566903690337257,5.68332512407288e-05
2020-04-09,MSFT,158.367,159.56,160.536,156.668,53625148.104405,-0.06426176,-5.2052026,0.025309836,81.0,5.68332512407288e-05,153.483,0.0345470890086533,0.0022858297498848934
2020-04-13,MSFT,158.729,157.625,158.788,155.663,43692366.30219,-0.03796379,-0.9111309,0.31330368,24.0,0.0022858297498848934,155.31914285714285,0.02932305900270095,0.049543561668
2020-04-14,MSFT,166.593,162.081,166.64,161.132,55129231.023778,-0.07966866,-5.178463,0.13236053,65.0,0.049543561668,157.84342857142857,0.03251704098536544,-0.010444616520501993
2020-04-15,MSFT,164.853,164.199,166.465,162.314,42686805.991011,-0.010450195,-2.8947039,0.4035442,277.0,-0.010444616520501993,160.31714285714287,0.032670514561990015,0.03004494913650335
2020-04-16,MSFT,169.806,167.176,170.04,165.831,52632376.304596,-0.044176064,-4.859367,0.20010681,110.0,0.03004494913650335,161.933,0.02222452974670762,0.008733495871759311
2020-04-17,MSFT,171.289,172.159,172.636,168.672,55015882.078873,0.0046538995,0.43746656,0.53652054,94.0,0.008733495871759311,163.9992857142857,0.02035677304319136,-0.019826141783768847
2020-04-20,MSFT,167.893,169.415,171.437,167.823,38233416.533082,-0.03866624,-1.5079834,0.269876,39.0,-0.019826141783768847,165.36142857142858,0.02387422227069981,-0.041312026111868905
2020-04-21,MSFT,160.957,166.396,166.563,159.315,58600627.438418,-0.06760215,-6.2869997,0.19501267,93.0,-0.041312026111868905,165.73142857142858,0.030539330755756277,0.03391589057947164
2020-04-22,MSFT,166.416,164.374,166.886,163.838,36129364.969359,-0.048184063,-6.3121123,0.319179,131.0,0.03391589057947164,166.82957142857143,0.03272642038339982,-0.012090183636188856
2020-04-23,MSFT,164.404,166.994,167.893,163.925,34189209.271914,0.00361182,0.35395837,0.5233125,98.0,-0.012090183636188856,166.51685714285713,0.02728572240284837,0.018369382740079487
2020-04-24,MSFT,167.424,165.029,167.434,163.73,35768314.50717,0.010797074,0.7449981,0.5591484,69.0,0.018369382740079487,166.88414285714285,0.02789021277979164,-0.0029147553516819524
2020-04-27,MSFT,166.936,169.376,169.668,166.201,34610000.541644,-0.13134046,-7.8804274,0.12839516,60.0,-0.0029147553516819524,166.47414285714285,0.025118869412219424,-0.02441055254708402
