date,ticker,close,open,high,low,volume
2025-04-17,NVDA,101.49,104.45,104.47,100.05,292517465.0
2025-04-16,NVDA,104.49,104.55,106.79,100.45,397016870.0
2025-04-15,NVDA,112.2,110.97,113.615,110.5,228966900.0
2025-04-14,NVDA,110.71,114.11,114.29,109.07,264705049.0
2025-04-11,NVDA,110.93,108.5,111.5499,107.48,313417265.0
2025-04-10,NVDA,107.57,109.37,110.86,99.15,437812353.0
2025-04-09,NVDA,114.33,98.89,115.1,97.5301,612918336.0
2025-04-08,NVDA,96.3,103.805,105.85,94.46,476243392.0
2025-04-07,NVDA,97.64,87.46,101.75,86.62,611041347.0
2025-04-04,NVDA,94.31,98.91,100.13,92.11,532273810.0
2025-04-03,NVDA,101.8,103.51,105.63,101.6,338769412.0
2025-04-02,NVDA,110.42,107.29,111.98,106.79,220601243.0
2025-04-01,NVDA,110.15,108.515,110.2,106.47,222614034.0
2025-03-31,NVDA,108.38,105.13,110.955,103.65,299212653.0
2025-03-28,NVDA,109.67,111.485,112.87,109.0701,229872549.0
2025-03-27,NVDA,111.43,111.35,114.45,110.66,236902055.0
2025-03-26,NVDA,113.76,118.73,118.84,112.71,296431667.0
2025-03-25,NVDA,120.69,120.545,121.29,118.92,167447198.0
2025-03-24,NVDA,121.41,119.88,122.22,119.34,228452534.0
2025-03-21,NVDA,117.7,116.94,117.99,115.42,266498528.0
2025-03-20,NVDA,118.53,116.55,120.2,116.47,248829749.0
2025-03-19,NVDA,117.52,117.27,120.445,115.68,273426225.0
2025-03-18,NVDA,115.43,118.0,119.02,114.54,299686944.0
2025-03-17,NVDA,119.53,122.74,122.89,118.03,255501481.0
2025-03-14,NVDA,121.67,118.61,121.88,118.15,277593455.0
2025-03-13,NVDA,115.58,117.03,117.76,113.79,299033131.0
2025-03-12,NVDA,115.74,114.12,116.76,112.88,323857454.0
2025-03-11,NVDA,108.76,106.99,112.236,104.77,354865692.0
2025-03-10,NVDA,106.98,109.9,111.85,105.46,366487363.0
2025-03-07,NVDA,112.69,111.25,113.48,107.56,341755468.0
2025-03-06,NVDA,110.57,113.53,115.35,110.22,321181861.0
2025-03-05,NVDA,117.3,117.58,118.2781,114.51,284337886.0
2025-03-04,NVDA,115.99,110.645,119.31,110.11,398163305.0
2025-03-03,NVDA,114.06,123.51,123.7,112.28,411381373.0
2025-02-28,NVDA,124.92,118.02,125.09,116.4,389091145.0
2025-02-27,NVDA,120.15,135.0,135.01,120.01,443175846.0
2025-02-26,NVDA,131.28,129.985,133.73,128.49,322553814.0
2025-02-25,NVDA,126.63,129.98,130.2,124.44,271428711.0
2025-02-24,NVDA,130.28,136.56,138.59,130.08,251381137.0
2025-02-21,NVDA,134.43,140.04,141.46,134.03,228217585.0
2025-02-20,NVDA,140.11,140.03,140.66,136.79,143903583.0
2025-02-19,NVDA,139.23,139.51,141.36,137.22,167536006.0
2025-02-18,NVDA,139.4,141.27,143.44,137.925,219176627.0
2025-02-14,NVDA,138.85,136.48,139.25,135.5,195479557.0
2025-02-13,NVDA,135.29,131.555,136.5,131.17,197429975.0
2025-02-12,NVDA,131.14,130.02,132.24,129.08,160278552.0
2025-02-11,NVDA,132.8,132.58,134.48,131.02,178902379.0
2025-02-10,NVDA,133.57,130.09,135.0,129.96,216989086.0
2025-02-07,NVDA,129.84,129.22,130.37,125.0,228186298.0
2025-02-06,NVDA,128.68,127.42,128.77,125.21,251483574.0
2025-02-05,NVDA,124.83,121.76,125.0,120.76,263110629.0
2025-02-04,NVDA,118.65,116.96,121.2,116.7,256550040.0
2025-02-03,NVDA,116.66,114.75,118.57,113.01,371235677.0
2025-01-31,NVDA,120.07,123.78,127.85,119.19,390372899.0
2025-01-30,NVDA,124.65,123.1,125.0,118.1,392925469.0
2025-01-29,NVDA,123.7,126.5,126.89,120.05,467120640.0
2025-01-28,NVDA,128.99,121.81,129.0,116.25,579666350.0
2025-01-27,NVDA,118.42,124.8,128.4,116.7,818830895.0
2025-01-24,NVDA,142.62,148.37,148.97,141.88,234657635.0
2025-01-23,NVDA,147.22,145.05,147.23,143.72,155915549.0
2025-01-22,NVDA,147.07,144.66,147.79,143.67,237651395.0
2025-01-21,NVDA,140.83,139.16,141.83,137.09,197748985.0
2025-01-17,NVDA,137.71,136.69,138.5,135.464,201188760.0
2025-01-16,NVDA,133.57,138.64,138.75,133.49,209235583.0
2025-01-15,NVDA,136.24,133.65,136.45,131.29,185217338.0
2025-01-14,NVDA,131.76,136.05,136.38,130.05,195590485.0
2025-01-13,NVDA,133.23,129.99,133.49,129.51,204808914.0
2025-01-10,NVDA,135.91,137.45,139.92,134.22,207602514.0
2025-01-08,NVDA,140.11,142.58,143.95,137.56,227349948.0
2025-01-07,NVDA,140.14,153.03,153.13,140.01,351782174.0
2025-01-06,NVDA,149.43,148.59,152.156,147.82,265377359.0
2025-01-03,NVDA,144.47,140.01,144.9,139.73,229322478.0
2025-01-02,NVDA,138.31,136.0,138.88,134.63,198247166.0
2024-12-31,NVDA,134.29,138.03,138.07,133.83,155659211.0
2024-12-30,NVDA,137.49,134.83,140.27,134.02,167734700.0
2024-12-27,NVDA,137.01,138.55,139.02,134.71,170582603.0
2024-12-26,NVDA,139.93,139.7,140.85,137.73,116519090.0
2024-12-24,NVDA,140.22,140.0,141.9,138.65,105156989.0
2024-12-23,NVDA,139.67,136.28,139.79,135.12,176053506.0
2024-12-20,NVDA,134.7,129.81,135.28,128.22,306528553.0
2024-12-19,NVDA,130.68,131.76,134.03,129.55,209719210.0
2024-12-18,NVDA,128.91,133.86,136.7,128.28,277444533.0
2024-12-17,NVDA,130.39,129.09,131.59,126.86,259410263.0
2024-12-16,NVDA,132.0,134.18,134.4,130.42,237951130.0
2024-12-13,NVDA,134.25,138.94,139.6,132.54,231514881.0
2024-12-12,NVDA,137.34,137.08,138.44,135.8,159211393.0
2024-12-11,NVDA,139.31,137.36,140.17,135.21,184905192.0
2024-12-10,NVDA,135.07,139.01,141.82,133.79,210020888.0
2024-12-09,NVDA,138.81,138.97,139.95,137.13,189308625.0
2024-12-06,NVDA,142.44,144.6,145.7,141.31,188505573.0
2024-12-05,NVDA,145.06,145.11,146.54,143.95,172621180.0
2024-12-04,NVDA,145.13,141.985,145.78,140.28,231240227.0
2024-12-03,NVDA,140.25,138.25,140.53,137.94,164425293.0
2024-12-02,NVDA,138.62,138.82,140.44,137.816,171694606.0
2024-11-29,NVDA,138.24,136.771,139.34,136.041,141872930.0
2024-11-27,NVDA,135.331,135.001,137.211,131.791,226386509.0
2024-11-26,NVDA,136.911,137.691,139.29,135.661,190300765.0
2024-11-25,NVDA,136.011,141.98,142.04,135.811,344965642.0
2024-11-22,NVDA,141.94,145.92,147.15,141.09,236422443.0
2024-11-21,NVDA,146.66,149.34,152.879,140.69,400974196.0
2024-11-20,NVDA,145.88,147.4,147.55,142.72,309893005.0
2024-11-19,NVDA,147.0,141.31,147.12,140.98,227850610.0
2024-11-18,NVDA,140.14,139.49,141.54,137.141,221881280.0
2024-11-15,NVDA,141.97,144.86,145.23,140.07,250150104.0
2024-11-14,NVDA,146.75,147.63,148.99,145.54,194476700.0
2024-11-13,NVDA,146.26,149.06,149.32,145.89,191916489.0
2024-11-12,NVDA,148.28,146.77,149.64,146.0,198648424.0
2024-11-11,NVDA,145.25,148.67,148.84,143.56,182338182.0
2024-11-08,NVDA,147.62,148.76,149.76,146.25,175677934.0
2024-11-07,NVDA,148.87,146.38,148.92,146.16,207337588.0
2024-11-06,NVDA,145.6,142.95,146.48,141.95,242060622.0
2024-11-05,NVDA,139.9,137.441,140.36,137.321,160548434.0
2024-11-04,NVDA,136.041,137.201,138.95,135.561,187541094.0
2024-11-01,NVDA,135.361,134.691,137.301,134.561,207142109.0
2024-10-31,NVDA,132.751,137.591,137.601,132.101,270058247.0
2024-10-30,NVDA,139.325,139.53,140.32,136.801,179430444.0
2024-10-29,NVDA,141.24,140.275,142.25,138.89,157604492.0
2024-10-28,NVDA,140.51,142.99,143.13,140.04,173598705.0
2024-10-25,NVDA,141.53,140.92,144.12,140.79,205136242.0
2024-10-24,NVDA,140.4,140.81,141.34,138.45,172366763.0
2024-10-23,NVDA,139.55,142.02,142.42,137.451,285949739.0
2024-10-22,NVDA,143.58,142.9,144.41,141.77,226327182.0
2024-10-21,NVDA,143.7,138.12,143.7,137.99,264572742.0
2024-10-18,NVDA,137.99,138.655,138.89,137.271,176102317.0
2024-10-17,NVDA,136.921,139.33,140.88,136.861,306457035.0
2024-10-16,NVDA,135.711,133.971,136.611,131.571,264897971.0
2024-10-15,NVDA,131.591,137.861,138.56,128.731,377857054.0
2024-10-14,NVDA,138.06,136.461,139.59,136.291,232363677.0
2024-10-11,NVDA,134.791,134.001,135.771,133.651,170221202.0
2024-10-10,NVDA,134.801,131.901,134.991,130.991,242328033.0
2024-10-09,NVDA,132.641,134.101,134.511,131.371,246208575.0
2024-10-08,NVDA,132.881,130.251,133.471,129.411,285742172.0
2024-10-07,NVDA,127.711,124.981,130.631,124.941,346274090.0
2024-10-04,NVDA,124.911,124.931,125.031,121.822,244482396.0
2024-10-03,NVDA,122.842,120.912,124.351,120.332,277137067.0
2024-10-02,NVDA,118.842,116.432,119.372,115.132,221861173.0
2024-10-01,NVDA,116.992,121.757,122.427,115.782,302115300.0
2024-09-30,NVDA,121.432,118.302,121.492,118.142,227069295.0
2024-09-27,NVDA,121.392,123.961,124.021,119.252,271027848.0
2024-09-26,NVDA,124.031,126.791,127.656,121.792,302603717.0
2024-09-25,NVDA,123.501,122.012,124.931,121.602,284712564.0
2024-09-24,NVDA,120.862,116.507,121.792,115.372,354991230.0
2024-09-23,NVDA,116.252,116.542,116.982,114.852,206242699.0
2024-09-20,NVDA,115.992,117.052,118.61,115.382,382488781.0
2024-09-19,NVDA,117.862,117.342,119.652,117.242,293526661.0
2024-09-18,NVDA,113.362,115.882,117.692,113.212,310340319.0
2024-09-17,NVDA,115.582,118.162,118.792,114.822,231941856.0
2024-09-16,NVDA,116.772,116.782,118.172,114.352,248789449.0
2024-09-13,NVDA,119.092,119.072,119.947,117.592,238374751.0
2024-09-12,NVDA,119.132,116.832,120.782,115.372,367125790.0
2024-09-11,NVDA,116.892,109.373,117.172,107.404,441490548.0
2024-09-10,NVDA,108.084,107.794,109.383,104.934,268325173.0
2024-09-09,NVDA,106.454,104.864,106.534,103.674,273954321.0
2024-09-06,NVDA,102.814,108.024,108.134,100.934,413701985.0
2024-09-05,NVDA,107.194,104.969,109.633,104.744,306898089.0
2024-09-04,NVDA,106.194,105.394,113.252,104.104,372527820.0
2024-09-03,NVDA,107.984,115.992,116.192,107.274,477228797.0
2024-08-30,NVDA,119.352,119.512,121.732,117.202,333803131.0
2024-08-29,NVDA,117.572,121.337,124.41,116.692,453093275.0
2024-08-28,NVDA,125.59,128.1,128.31,122.622,448170325.0
2024-08-27,NVDA,128.28,125.03,129.18,123.86,303181392.0
2024-08-26,NVDA,126.44,129.55,131.24,124.35,332015944.0
2024-08-23,NVDA,129.35,125.84,129.58,125.2,323280255.0
2024-08-22,NVDA,123.72,130.0,130.73,123.081,376247179.0
2024-08-21,NVDA,128.48,127.295,129.33,126.64,257923402.0
2024-08-20,NVDA,127.23,128.38,129.86,125.87,300133764.0
2024-08-19,NVDA,129.98,124.26,129.98,123.4,318382744.0
2024-08-16,NVDA,124.56,121.922,124.98,121.162,302636607.0
2024-08-15,NVDA,122.841,118.742,123.221,117.452,318135802.0
2024-08-14,NVDA,118.062,118.512,118.582,114.052,339298804.0
2024-08-13,NVDA,116.122,112.422,116.212,111.562,312694949.0
2024-08-12,NVDA,109.003,106.304,111.052,106.244,325610153.0
2024-08-09,NVDA,104.734,105.624,106.584,103.414,290889078.0
2024-08-08,NVDA,104.954,101.984,105.484,97.505,391970554.0
2024-08-07,NVDA,98.8947,107.794,108.784,98.6748,411503971.0
